,Node,Betweenness Centrality
182,62,0.008
183,171,0.025
184,172,0.003
185,63,0.046
186,64,0.046
187,339,0.039
188,65,0.046
189,2220,0.001
190,338,0.038
191,341,0.001
192,36187,0.0
193,66,0.045
194,2155,0.001
195,2157,0.001
196,2219,0.0
197,2221,0.0
198,67,0.0
199,68,0.045
200,2254,0.001
201,2156,0.0
202,2158,0.0
203,2161,0.0
204,69,0.0
205,70,0.046
206,2251,0.0
207,2252,0.0
208,71,0.066
209,1052,0.003
210,72,0.023
211,1049,0.065
212,1050,0.002
213,2256,0.001
214,2258,0.001
215,73,0.0
216,1048,0.065
217,75,0.0
218,1073,0.055
219,1076,0.0
220,80,0.001
221,455,0.004
222,81,0.002
223,105,0.002
224,454,0.017
225,116,0.004
226,118,0.005
227,342,0.039
228,82,0.001
229,104,0.001
230,107,0.001
231,124,0.001
232,114,0.0
233,86,0.028
234,87,0.028
235,88,0.001
236,128,0.026
237,315,0.002
238,97,0.004
239,134,0.03
240,89,0.001
241,146,0.002
242,129,0.026
243,452,0.002
244,135,0.013
245,316,0.017
246,90,0.0
247,91,0.0
248,92,0.0
249,133,0.026
250,132,0.005
251,139,0.023
252,410,0.002
253,471,0.0
254,35881,0.0
255,35728,0.0
256,99,0.0
257,100,0.0
258,101,0.0
259,136,0.0
260,6790,0.0
261,103,0.0
262,137,0.0
263,6760,0.0
264,102,0.0
265,6771,0.0
266,421,0.0
267,6792,0.0
268,6805,0.0
269,6791,0.0
270,6802,0.0
271,6713,0.0
272,6748,0.0
273,6764,0.0
274,6757,0.0
275,6733,0.0
276,6738,0.0
277,6772,0.0
278,6722,0.0
279,6734,0.0
280,6736,0.0
281,6737,0.0
282,6765,0.0
283,6711,0.0
284,6714,0.0
285,6717,0.0
286,6747,0.0
287,6759,0.0
288,106,0.013
289,151,0.027
290,150,0.021
291,152,0.012
292,115,0.023
293,117,0.013
294,120,0.023
295,169,0.011
296,122,0.002
297,121,0.002
298,170,0.0
299,36184,0.0
300,453,0.003
301,340,0.0
302,36185,0.0
303,125,0.002
304,126,0.0
305,127,0.001
306,176,0.002
307,355,0.0
308,383,0.002
309,354,0.0
310,353,0.002
311,443,0.0
312,381,0.0
313,153,0.003
314,155,0.0
315,37498,0.0
316,356,0.015
317,358,0.001
318,442,0.003
319,130,0.006
320,154,0.017
321,444,0.008
322,145,0.002
323,41762,0.0
324,131,0.0
325,359,0.006
326,36966,0.002
327,41761,0.0
328,138,0.001
329,387,0.023
330,6770,0.0
331,6793,0.0
332,6797,0.0
333,6763,0.0
334,6766,0.0
335,388,0.004
336,140,0.0
337,141,0.002
338,142,0.001
339,391,0.0
340,389,0.0
341,392,0.001
342,390,0.0
343,143,0.001
344,144,0.001
345,177,0.001
346,178,0.0
347,186,0.001
348,187,0.001
349,41763,0.0
350,147,0.003
351,148,0.002
352,149,0.011
353,166,0.001
354,167,0.0
355,168,0.0
356,317,0.01
357,162,0.002
358,36963,0.0
359,303,0.058
360,318,0.0
361,357,0.012
362,156,0.027
363,157,0.027
364,158,0.027
365,1057,0.0
366,175,0.003
367,1093,0.025
368,159,0.028
369,1058,0.0
370,173,0.003
371,160,0.002
372,1056,0.05
373,161,0.002
374,36965,0.0
375,1055,0.031
376,36964,0.0
377,163,0.001
378,164,0.0
379,165,0.0
380,174,0.0
381,314,0.002
382,179,0.004
383,180,0.007
384,181,0.002
385,425,0.002
386,42066,0.003
387,379,0.003
388,434,0.005
389,182,0.003
390,426,0.001
391,35695,0.001
392,424,0.002
393,42067,0.002
394,42074,0.003
395,435,0.003
396,460,0.006
397,42076,0.0
398,35699,0.0
399,35696,0.0
400,35703,0.0
401,35746,0.0
402,35890,0.0
403,35891,0.0
404,35892,0.0
405,35895,0.0
406,312,0.002
407,41764,0.0
408,188,0.006
409,189,0.012
410,190,0.014
411,369,0.001
412,191,0.008
413,193,0.008
414,351,0.006
415,367,0.0
416,368,0.0
417,441,0.003
418,360,0.003
419,440,0.0
420,192,0.002
421,195,0.002
422,461,0.004
423,350,0.004
424,371,0.009
425,194,0.003
426,201,0.0
427,203,0.0
428,375,0.005
429,202,0.0
430,352,0.001
431,462,0.0
432,373,0.001
433,374,0.006
434,42079,0.003
435,196,0.0
436,197,0.0
437,198,0.0
438,7178,0.0
439,200,0.0
440,23401,0.0
441,199,0.0
442,15697,0.0
443,7176,0.0
444,7179,0.0
445,503,0.001
446,24015,0.0
447,7332,0.0
448,15686,0.0
449,205,0.003
450,372,0.0
451,204,0.004
452,206,0.001
453,213,0.009
454,209,0.004
455,207,0.0
456,433,0.0
457,211,0.013
458,212,0.02
459,208,0.003
460,344,0.0
461,432,0.006
462,260,0.017
463,343,0.002
464,210,0.019
465,235,0.016
466,227,0.004
467,230,0.015
468,236,0.016
469,41752,0.001
470,370,0.007
471,41755,0.001
472,229,0.001
473,261,0.0
474,226,0.001
475,234,0.004
476,214,0.001
477,215,0.002
478,216,0.004
479,309,0.001
480,308,0.022
481,310,0.0
482,311,0.0
483,313,0.0
484,307,0.021
485,36178,0.019
486,217,0.0
487,218,0.0
488,222,0.001
489,7925,0.0
490,219,0.0
491,7923,0.0
492,221,0.0
493,4895,0.001
494,4899,0.0
495,7926,0.0
496,220,0.0
497,7922,0.0
498,7924,0.0
499,7931,0.0
500,7921,0.0
501,7901,0.0
502,7918,0.0
503,7932,0.0
504,7937,0.0
505,7881,0.0
506,7888,0.0
507,7882,0.0
508,7887,0.0
509,4896,0.001
510,4898,0.001
511,7927,0.0
512,43222,0.0
513,4109,0.0
514,4110,0.0
515,3940,0.0
516,3938,0.0
517,4100,0.0
518,4096,0.0
519,4099,0.0
520,4117,0.0
521,4149,0.0
522,228,0.0
523,251,0.001
524,255,0.001
525,273,0.001
526,233,0.006
527,254,0.0
528,259,0.013
529,42078,0.0
530,231,0.003
531,232,0.004
532,289,0.002
533,245,0.003
534,276,0.005
535,288,0.003
536,250,0.015
537,244,0.004
538,246,0.0
539,247,0.0
540,274,0.0
541,275,0.0
542,277,0.0
543,278,0.006
544,41753,0.0
545,41754,0.0
546,243,0.015
547,248,0.001
548,237,0.0
549,238,0.0
550,239,0.0
551,3930,0.0
552,241,0.0
553,3295,0.0
554,240,0.0
555,3271,0.0
556,3889,0.0
557,3931,0.0
558,3292,0.0
559,3296,0.0
560,4080,0.0
561,3276,0.0
562,3272,0.0
563,3888,0.0
564,3890,0.0
565,3275,0.0
566,3277,0.0
567,3291,0.0
568,242,0.019
569,36218,0.0
570,253,0.0
571,249,0.0
572,36219,0.0
573,252,0.0
574,1159,0.001
575,1158,0.001
576,256,0.0
577,257,0.001
578,258,0.003
579,272,0.002
580,35850,0.001
581,42587,0.002
582,271,0.002
583,35851,0.009
584,36974,0.008
585,42588,0.0
586,42586,0.001
587,36975,0.0
588,42077,0.0
589,262,0.031
590,263,0.037
591,264,0.03
592,549,0.001
593,550,0.033
594,265,0.0
595,267,0.03
596,548,0.001
597,279,0.0
598,36211,0.001
599,525,0.035
600,36210,0.0
601,266,0.0
602,268,0.017
603,1918,0.014
604,269,0.003
605,290,0.004
606,297,0.01
607,1919,0.014
608,36987,0.0
609,270,0.002
610,42585,0.0
611,291,0.002
612,327,0.001
613,1920,0.0
614,296,0.002
615,42583,0.008
616,301,0.0
617,42582,0.008
618,280,0.01
619,281,0.004
620,282,0.005
621,35769,0.01
622,285,0.002
623,42598,0.001
624,283,0.0
625,286,0.003
626,35773,0.0
627,35768,0.011
628,35852,0.0
629,284,0.0
630,35845,0.0
631,35846,0.0
632,35841,0.0
633,35854,0.0
634,42600,0.0
635,287,0.002
636,35772,0.0
637,35775,0.001
638,35847,0.0
639,35844,0.0
640,35771,0.0
641,35774,0.0
642,42570,0.0
643,35848,0.0
644,36212,0.0
645,36215,0.0
646,292,0.002
647,293,0.002
648,480,0.002
649,294,0.004
650,35805,0.0
651,479,0.003
652,295,0.002
653,35795,0.003
654,35796,0.001
655,35797,0.0
656,35799,0.0
657,35770,0.003
658,42584,0.0
659,298,0.006
660,299,0.0
661,300,0.005
662,35863,0.014
663,302,0.038
664,304,0.0
665,305,0.038
666,1092,0.024
667,306,0.022
668,1103,0.0
669,1156,0.016
670,1090,0.007
671,1100,0.023
672,1143,0.001
673,1101,0.0
674,1124,0.022
675,1157,0.0
676,1165,0.038
677,319,0.0
678,320,0.0
679,321,0.0
680,322,0.0
681,323,0.0
682,326,0.0
683,3481,0.0
684,324,0.0
685,325,0.0
686,3479,0.0
687,3430,0.0
688,3432,0.0
689,4173,0.0
690,4175,0.0
691,3434,0.0
692,3431,0.0
693,3475,0.0
694,3480,0.0
695,4181,0.0
696,3482,0.0
697,3369,0.0
698,3429,0.0
699,3415,0.0
700,3427,0.0
701,3416,0.0
702,3474,0.0
703,3476,0.0
704,3424,0.0
705,4178,0.0
706,4174,0.0
707,4179,0.0
708,4182,0.0
709,4132,0.0
710,36979,0.013
711,36980,0.0
712,328,0.0
713,329,0.0
714,330,0.0
715,40094,0.0
716,11435,0.0
717,12041,0.0
718,11433,0.0
719,11434,0.0
720,12022,0.0
721,12058,0.0
722,331,0.005
723,332,0.001
724,333,0.003
725,35734,0.001
726,404,0.003
727,36967,0.0
728,35731,0.0
729,35735,0.0
730,405,0.003
731,334,0.0
732,335,0.0
733,337,0.0
734,336,0.0
735,12138,0.0
736,12176,0.0
737,12175,0.0
738,12202,0.0
739,12032,0.0
740,12033,0.0
741,36186,0.0
742,2202,0.0
743,42082,0.001
744,42081,0.0
745,42594,0.0
746,42595,0.0
747,345,0.0
748,346,0.0
749,347,0.0
750,3294,0.0
751,349,0.0
752,3290,0.0
753,3338,0.0
754,348,0.0
755,3285,0.0
756,3339,0.0
757,3293,0.0
758,3319,0.0
759,3284,0.0
760,3286,0.0
761,3314,0.0
762,3340,0.0
763,3347,0.0
764,36261,0.0
765,382,0.0
766,361,0.005
767,362,0.008
768,363,0.008
769,41760,0.0
770,364,0.001
771,41759,0.0
772,365,0.0
773,366,0.0
774,41758,0.0
775,41756,0.0
776,41757,0.0
777,42597,0.0
778,376,0.0
779,377,0.0
780,378,0.0
781,16472,0.0
782,12226,0.0
783,12227,0.0
784,12230,0.0
785,12247,0.0
786,1176,0.0
787,37523,0.0
788,12225,0.0
789,16399,0.0
790,12228,0.0
791,12229,0.0
792,12231,0.0
793,12248,0.0
794,37522,0.0
795,393,0.0
796,468,0.002
797,394,0.0
798,395,0.0
799,396,0.0
800,7162,0.0
801,399,0.0
802,42094,0.0
803,397,0.0
804,7163,0.0
805,7184,0.0
806,7186,0.0
807,398,0.0
808,457,0.0
809,42329,0.0
810,3263,0.0
811,3261,0.0
812,3264,0.0
813,21184,0.0
814,3262,0.0
815,20839,0.0
816,456,0.0
817,459,0.0
818,20849,0.0
819,41945,0.0
820,400,0.0
821,401,0.0
822,403,0.0
823,592,0.0
824,402,0.0
825,41613,0.0
826,450,0.0
827,591,0.0
828,2661,0.0
829,445,0.0
830,2625,0.0
831,42211,0.0
832,446,0.0
833,40748,0.0
834,449,0.0
835,451,0.0
836,411,0.001
837,472,0.001
838,36193,0.0
839,406,0.0
840,407,0.0
841,408,0.0
842,6024,0.0
843,409,0.0
844,6025,0.0
845,36209,0.0
846,6300,0.0
847,6048,0.0
848,5636,0.0
849,6301,0.0
850,6049,0.0
851,36224,0.0
852,6302,0.0
853,5637,0.0
854,5638,0.0
855,473,0.0
856,35717,0.0
857,412,0.001
858,413,0.001
859,414,0.001
860,683,0.001
861,418,0.001
862,755,0.001
863,7795,0.0
864,415,0.0
865,682,0.001
866,677,0.0
867,699,0.001
868,417,0.001
869,7794,0.0
870,756,0.0
871,758,0.001
872,7793,0.0
873,7792,0.0
874,416,0.0
875,681,0.001
876,1025,0.0
877,1024,0.001
878,7757,0.0
879,1023,0.0
880,7756,0.0
881,7755,0.0
882,7787,0.0
883,35405,0.0
884,35710,0.0
885,6769,0.0
886,6794,0.0
887,6798,0.0
888,427,0.002
889,35747,0.001
890,42052,0.001
891,35748,0.0
892,35749,0.0
893,42058,0.0
894,42053,0.0
895,42054,0.0
896,428,0.001
897,429,0.001
898,430,0.001
899,7190,0.001
900,40005,0.0
901,431,0.001
902,12629,0.0
903,40022,0.0
904,5927,0.0
905,5970,0.0
906,611,0.001
907,7156,0.0
908,40006,0.0
909,5925,0.001
910,6855,0.0
911,40015,0.0
912,40017,0.0
913,40023,0.0
914,5928,0.0
915,5929,0.0
916,5971,0.0
917,7130,0.0
918,5926,0.001
919,436,0.0
920,437,0.0
921,439,0.0
922,23898,0.0
923,438,0.0
924,33468,0.0
925,20655,0.0
926,23896,0.0
927,23897,0.0
928,40853,0.0
929,15713,0.0
930,33467,0.0
931,33469,0.0
932,39690,0.0
933,39962,0.0
934,15712,0.0
935,15714,0.0
936,40848,0.0
937,39978,0.0
938,447,0.0
939,2648,0.0
940,40749,0.0
941,42208,0.0
942,448,0.0
943,2647,0.0
944,2649,0.0
945,2646,0.0
946,2934,0.0
947,2938,0.0
948,2652,0.0
949,458,0.0
950,21970,0.0
951,20811,0.0
952,20812,0.0
953,21121,0.0
954,20869,0.0
955,21969,0.0
956,20848,0.0
957,21122,0.0
958,41944,0.0
959,42092,0.0
960,20813,0.0
961,20772,0.0
962,20803,0.0
963,42073,0.0
964,42596,0.0
965,463,0.0
966,464,0.0
967,467,0.0
968,20571,0.0
969,465,0.0
970,5314,0.0
971,5315,0.0
972,466,0.0
973,20718,0.0
974,25505,0.0
975,20572,0.0
976,20576,0.0
977,20725,0.0
978,40105,0.0
979,41916,0.0
980,5312,0.0
981,42134,0.0
982,5313,0.0
983,41917,0.0
984,40104,0.0
985,40110,0.0
986,20554,0.0
987,20716,0.0
988,20723,0.0
989,20534,0.0
990,20556,0.0
991,35739,0.0
992,474,0.001
993,475,0.005
994,476,0.002
995,1594983,0.001
996,478,0.002
997,477,0.001
998,36977,0.001
999,36986,0.007
1000,1594984,0.0
1001,1610675,0.0
1002,36978,0.0
1003,1594985,0.0
1004,35803,0.001
1005,36976,0.0
1006,35800,0.0
1007,35809,0.0
1008,35818,0.0
1009,481,0.001
1010,482,0.002
1011,507,0.001
1012,483,0.001
1013,506,0.001
1014,21548,0.0
1015,484,0.001
1016,4074,0.0
1017,5805,0.0
1018,485,0.001
1019,4040,0.0
1020,4041,0.0
1021,5937,0.0
1022,486,0.001
1023,4039,0.0
1024,487,0.001
1025,5809,0.0
1026,488,0.0
1027,489,0.0
1028,5807,0.0
1029,5943,0.0
1030,490,0.0
1031,5808,0.0
1032,491,0.0
1033,5951,0.0
1034,492,0.001
1035,4077,0.0
1036,5948,0.0
1037,493,0.0
1038,4076,0.0
1039,4075,0.0
1040,5954,0.0
1041,494,0.0
1042,7131,0.0
1043,5813,0.0
1044,495,0.0
1045,7133,0.0
1046,7132,0.0
1047,7152,0.0
1048,496,0.0
1049,7154,0.0
1050,497,0.0
1051,7145,0.0
1052,7153,0.0
1053,7161,0.0
1054,7206,0.0
1055,498,0.0
1056,7142,0.0
1057,7146,0.0
1058,7207,0.0
1059,499,0.0
1060,7141,0.0
1061,500,0.0
1062,501,0.001
1063,502,0.001
1064,7164,0.0
1065,7165,0.0
1066,23431,0.0
1067,7144,0.0
1068,7166,0.0
1069,7180,0.0
1070,504,0.001
1071,505,0.001
1072,4044,0.0
1073,24013,0.0
1074,24012,0.0
1075,21549,0.0
1076,24014,0.0
1077,509,0.0
1078,510,0.0
1079,511,0.0
1080,6685,0.0
1081,513,0.0
1082,6681,0.0
1083,512,0.0
1084,6684,0.0
1085,6696,0.0
1086,6679,0.0
1087,6699,0.0
1088,6616,0.0
1089,6621,0.0
1090,6682,0.0
1091,6604,0.0
1092,6683,0.0
1093,6700,0.0
1094,6963,0.0
1095,6953,0.0
1096,6605,0.0
1097,6606,0.0
1098,6620,0.0
1099,6893,0.0
1100,514,0.0
1101,515,0.0
1102,516,0.0
1103,1119,0.0
1104,5892,0.0
1105,1120,0.0
1106,5883,0.0
1107,5884,0.0
1108,5894,0.0
1109,1118,0.0
1110,5890,0.0
1111,5896,0.0
1112,5902,0.0
1113,5874,0.0
1114,5882,0.0
1115,5893,0.0
1116,5862,0.0
1117,5854,0.0
1118,5864,0.0
1119,517,0.0
1120,518,0.0
1121,519,0.0
1122,8146,0.0
1123,520,0.0
1124,8154,0.0
1125,8155,0.0
1126,8145,0.0
1127,8153,0.0
1128,8137,0.0
1129,8147,0.0
1130,8156,0.0
1131,8152,0.0
1132,8157,0.0
1133,8124,0.0
1134,8148,0.0
1135,8151,0.0
1136,521,0.002
1137,522,0.003
1138,36982,0.0
1139,36992,0.001
1140,523,0.003
1141,36983,0.0
1142,36991,0.0
1143,36993,0.0
1144,524,0.003
1145,526,0.037
1146,36201,0.001
1147,1166,0.038
1148,36200,0.0
1149,36202,0.0
1150,1167,0.0
1151,527,0.0
1152,528,0.0
1153,529,0.0
1154,532,0.0
1155,531,0.0
1156,534,0.0
1157,5432,0.0
1158,530,0.0
1159,5418,0.0
1160,533,0.0
1161,5444,0.0
1162,5449,0.0
1163,5421,0.0
1164,5422,0.0
1165,535,0.0
1166,5433,0.0
1167,5438,0.0
1168,5423,0.0
1169,5368,0.0
1170,5417,0.0
1171,5424,0.0
1172,5367,0.0
1173,5391,0.0
1174,5420,0.0
1175,5450,0.0
1176,5445,0.0
1177,5448,0.0
1178,5443,0.0
1179,5437,0.0
1180,5442,0.0
1181,7984,0.0
1182,5431,0.0
1183,5436,0.0
1184,5447,0.0
1185,536,0.002
1186,537,0.001
1187,541,0.004
1188,542,0.0
1189,538,0.001
1190,36981,0.0
1191,540,0.003
1192,543,0.0
1193,539,0.002
1194,36985,0.0
1195,1603443,0.0
1196,1603442,0.001
1197,36984,0.0
1198,1607299,0.0
1199,1594982,0.002
1200,1607298,0.0
1201,1593601,0.0
1202,544,0.0
1203,545,0.0
1204,546,0.0
1205,4371,0.0
1206,4373,0.0
1207,547,0.0
1208,4481,0.0
1209,4372,0.0
1210,4476,0.0
1211,4487,0.0
1212,4485,0.0
1213,4480,0.0
1214,4484,0.0
1215,551,0.0
1216,552,0.0
1217,553,0.0
1218,559,0.0
1219,555,0.0
1220,556,0.0
1221,554,0.0
1222,36197,0.0
1223,558,0.0
1224,560,0.0
1225,557,0.0
1226,1189,0.0
1227,36196,0.0
1228,36207,0.0
1229,561,0.0
1230,1187,0.0
1231,1190,0.0
1232,568,0.0
1233,2023,0.0
1234,2025,0.0
1235,37003,0.0
1236,2024,0.0
1237,37015,0.0
1238,37004,0.0
1239,37005,0.0
1240,573,0.0
1241,562,0.0
1242,563,0.0
1243,566,0.0
1244,567,0.0
1245,564,0.0
1246,37017,0.0
1247,565,0.0
1248,569,0.0
1249,37020,0.0
1250,37016,0.0
1251,37018,0.0
1252,37019,0.0
1253,579,0.0
1254,577,0.0
1255,578,0.0
1256,570,0.0
1257,571,0.0
1258,572,0.0
1259,589,0.0
1260,574,0.0
1261,580,0.0
1262,575,0.0
1263,587,0.0
1264,576,0.0
1265,588,0.0
1266,590,0.0
1267,581,0.0
1268,582,0.0
1269,583,0.0
1270,22099,0.0
1271,586,0.0
1272,584,0.0
1273,22098,0.0
1274,21926,0.0
1275,585,0.0
1276,944,0.0
1277,21927,0.0
1278,22151,0.0
1279,22105,0.0
1280,22107,0.0
1281,22113,0.0
1282,31944,0.0
1283,22108,0.0
1284,17398,0.0
1285,22106,0.0
1286,2575,0.0
1287,2653,0.0
1288,2935,0.0
1289,2660,0.0
1290,2671,0.0
1291,593,0.0
1292,596,0.0
1293,594,0.0
1294,595,0.0
1295,36021,0.0
1296,36020,0.0
1297,36017,0.0
1298,36022,0.0
1299,597,0.0
1300,598,0.0
1301,599,0.0
1302,6851,0.0
1303,7251,0.0
1304,7066,0.0
1305,6859,0.0
1306,6007,0.0
1307,7261,0.0
1308,7250,0.0
1309,7263,0.0
1310,7068,0.0
1311,7351,0.0
1312,6858,0.0
1313,7067,0.0
1314,600,0.0
1315,601,0.0
1316,603,0.0
1317,663,0.0
1318,3470,0.0
1319,602,0.0
1320,3484,0.0
1321,3498,0.0
1322,664,0.0
1323,665,0.0
1324,3469,0.0
1325,3473,0.0
1326,3494,0.0
1327,3452,0.0
1328,3478,0.0
1329,3497,0.0
1330,3504,0.0
1331,3453,0.0
1332,3439,0.0
1333,3451,0.0
1334,604,0.003
1335,605,0.0
1336,606,0.002
1337,676,0.008
1338,36183,0.005
1339,608,0.0
1340,607,0.0
1341,41826,0.001
1342,675,0.007
1343,695,0.005
1344,36179,0.007
1345,36182,0.002
1346,36190,0.003
1347,673,0.001
1348,41825,0.0
1349,41892,0.0
1350,672,0.005
1351,674,0.0
1352,692,0.002
1353,609,0.0
1354,610,0.0
1355,614,0.0
1356,40021,0.0
1357,6013,0.0
1358,613,0.0
1359,40010,0.0
1360,40020,0.0
1361,612,0.0
1362,7188,0.0
1363,6012,0.0
1364,6014,0.0
1365,40004,0.0
1366,7189,0.0
1367,7192,0.0
1368,40009,0.0
1369,615,0.0
1370,616,0.0
1371,617,0.001
1372,1494580,0.0
1373,624,0.0
1374,661,0.002
1375,618,0.001
1376,1494584,0.0
1377,623,0.0
1378,662,0.005
1379,109371,0.001
1380,619,0.0
1381,37031,0.002
1382,620,0.002
1383,36225,0.0
1384,37030,0.001
1385,37033,0.002
1386,1494587,0.0
1387,621,0.001
1388,836,0.004
1389,834,0.0
1390,622,0.0
1391,768,0.006
1392,109373,0.006
1393,109372,0.005
1394,139985,0.001
1395,625,0.0
1396,626,0.0
1397,648,0.0
1398,12653,0.0
1399,627,0.0
1400,639,0.0
1401,12794,0.0
1402,12654,0.0
1403,12655,0.0
1404,628,0.0
1405,629,0.0
1406,630,0.0
1407,12608,0.0
1408,631,0.0
1409,12604,0.0
1410,12607,0.0
1411,42214,0.0
1412,632,0.0
1413,1094,0.0
1414,633,0.0
1415,1095,0.0
1416,634,0.0
1417,635,0.0
1418,12593,0.0
1419,636,0.0
1420,12597,0.0
1421,12594,0.0
1422,35973,0.0
1423,637,0.0
1424,12613,0.0
1425,12596,0.0
1426,35971,0.0
1427,638,0.0
1428,36326,0.0
1429,12610,0.0
1430,12612,0.0
1431,12790,0.0
1432,640,0.0
1433,12793,0.0
1434,12791,0.0
1435,36327,0.0
1436,641,0.0
1437,647,0.0
1438,12792,0.0
1439,12795,0.0
1440,642,0.0
1441,644,0.0
1442,646,0.0
1443,643,0.0
1444,645,0.0
1445,12796,0.0
1446,33767,0.0
1447,649,0.0
1448,650,0.0
1449,651,0.0
1450,654,0.0
1451,41880,0.0
1452,41885,0.0
1453,652,0.0
1454,653,0.0
1455,41888,0.0
1456,41881,0.0
1457,41882,0.0
1458,41886,0.0
1459,41887,0.0
1460,2085,0.0
1461,41879,0.0
1462,2082,0.0
1463,2084,0.0
1464,655,0.0
1465,656,0.0
1466,657,0.0
1467,660,0.0
1468,9392,0.0
1469,658,0.0
1470,9387,0.0
1471,9388,0.0
1472,659,0.0
1473,10016,0.0
1474,9393,0.0
1475,9395,0.0
1476,9386,0.0
1477,9366,0.0
1478,10007,0.0
1479,10015,0.0
1480,9394,0.0
1481,10006,0.0
1482,10008,0.0
1483,10017,0.0
1484,109374,0.0
1485,1494585,0.0
1486,109369,0.0
1487,109363,0.0
1488,139986,0.0
1489,3441,0.0
1490,3465,0.0
1491,3466,0.0
1492,3437,0.0
1493,3438,0.0
1494,3450,0.0
1495,3460,0.0
1496,3380,0.0
1497,3442,0.0
1498,666,0.001
1499,667,0.004
1500,668,0.0
1501,800,0.002
1502,853,0.0
1503,669,0.003
1504,828,0.011
1505,829,0.003
1506,743,0.001
1507,744,0.001
1508,745,0.001
1509,798,0.002
1510,852,0.0
1511,860,0.001
1512,742,0.003
1513,763,0.016
1514,826,0.009
1515,838,0.012
1516,842,0.002
1517,830,0.002
1518,713,0.025
1519,847,0.011
1520,670,0.002
1521,671,0.005
1522,41890,0.0
1523,109337,0.001
1524,690,0.003
1525,109344,0.001
1526,41891,0.0
1527,4414,0.0
1528,109323,0.0
1529,109336,0.0
1530,691,0.001
1531,40819,0.001
1532,109345,0.002
1533,109343,0.0
1534,146896,0.0
1535,694,0.003
1536,693,0.003
1537,738,0.042
1538,36180,0.002
1539,678,0.0
1540,679,0.001
1541,701,0.0
1542,680,0.001
1543,1998,0.0
1544,700,0.0
1545,752,0.0
1546,2004,0.001
1547,1999,0.0
1548,1015,0.001
1549,1079,0.001
1550,3990,0.0
1551,1016,0.001
1552,748,0.001
1553,684,0.0
1554,685,0.0
1555,686,0.0
1556,10312,0.0
1557,689,0.0
1558,10233,0.0
1559,687,0.0
1560,10317,0.0
1561,10313,0.0
1562,688,0.0
1563,10300,0.0
1564,10221,0.0
1565,10234,0.0
